2025-07-16 09:51:55.856 [main] DEBUG o.h.e.j.e.i.JdbcEnvironmentInitiator - Database ->
       name : PostgreSQL
    version : 15.13
      major : 15
      minor : 13
2025-07-16 09:51:55.856 [main] DEBUG o.h.e.j.e.i.JdbcEnvironmentInitiator - Driver ->
       name : PostgreSQL JDBC Driver
    version : 42.6.0
      major : 42
      minor : 6
2025-07-16 09:51:56.167 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ville]
2025-07-16 09:51:56.168 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [historique_statut_paiement]
2025-07-16 09:51:56.168 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [historique_statut_paiement]
2025-07-16 09:51:56.168 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [DTYPE]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.172 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ancienStatut]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ancienStatut]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ancienStatut]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ancienStatut]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [ancienStatut]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.173 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.176 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [dateModification]
2025-07-16 09:51:56.176 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [dateModification]
2025-07-16 09:51:56.176 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [dateModification]
2025-07-16 09:51:56.176 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [dateModification]
2025-07-16 09:51:56.176 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [dateModification]
2025-07-16 09:51:56.177 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [modifiePar]
2025-07-16 09:51:56.177 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [modifiePar]
2025-07-16 09:51:56.177 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [modifiePar]
2025-07-16 09:51:56.177 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [modifiePar]
2025-07-16 09:51:56.177 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [modifiePar]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [nouveauStatut]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [nouveauStatut]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [nouveauStatut]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [nouveauStatut]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [nouveauStatut]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [paiement_id]
2025-07-16 09:51:56.178 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [paiement]
2025-07-16 09:51:56.179 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [paiement]
2025-07-16 09:51:56.180 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [paiement]
2025-07-16 09:51:56.180 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [paiement]
2025-07-16 09:51:56.181 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [DTYPE]
2025-07-16 09:51:56.186 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.186 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.186 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.186 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.186 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [id]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [carte_bancaire_id]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [carteBancaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [carteBancaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commentaire]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commercant_id]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commercant]
2025-07-16 09:51:56.187 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [commercant]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [createdAt]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [createdAt]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [createdAt]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [createdAt]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [createdAt]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [date]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [date]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [date]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [date]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [date]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [historiqueStatuts]
2025-07-16 09:51:56.189 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [historiqueStatuts]
2025-07-16 09:51:56.190 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [historiqueStatuts_ORDER]
2025-07-16 09:51:56.190 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [element]
2025-07-16 09:51:56.190 [main] TRACE o.h.e.j.e.i.NormalizingIdentifierHelperImpl - Normalizing identifier quoting [element]
